NAMESPACE	LAST SEEN	TYPE	REASON	OBJECT	MESSAGE
uds-dev-stack               11m         Normal    Scheduled                        pod/metallb-controller-6b7f78f78d-nh5d7                                                                              Successfully assigned uds-dev-stack/metallb-controller-6b7f78f78d-nh5d7 to k3d-uds-server-0
uds-dev-stack               11m         Normal    Scheduled                        pod/minio-post-job-gt94f                                                                                             Successfully assigned uds-dev-stack/minio-post-job-gt94f to k3d-uds-server-0
neuvector                   6m43s       Normal    Scheduled                        pod/neuvector-scanner-pod-64d5b96b4d-l2h8p                                                                           Successfully assigned neuvector/neuvector-scanner-pod-64d5b96b4d-l2h8p to k3d-uds-server-0
neuvector                   6m43s       Normal    Scheduled                        pod/neuvector-scanner-pod-64d5b96b4d-j7pnx                                                                           Successfully assigned neuvector/neuvector-scanner-pod-64d5b96b4d-j7pnx to k3d-uds-server-0
monitoring                  4m33s       Normal    Scheduled                        pod/kube-prometheus-stack-admission-patch-f7k6v                                                                      Successfully assigned monitoring/kube-prometheus-stack-admission-patch-f7k6v to k3d-uds-server-0
zarf                        4m46s       Normal    Scheduled                        pod/zarf-docker-registry-5bdb47fb66-hp8nw                                                                            Successfully assigned zarf/zarf-docker-registry-5bdb47fb66-hp8nw to k3d-uds-server-0
neuvector                   6m43s       Normal    Scheduled                        pod/neuvector-controller-pod-76986f95cb-w2b2d                                                                        Successfully assigned neuvector/neuvector-controller-pod-76986f95cb-w2b2d to k3d-uds-server-0
neuvector                   6m43s       Normal    Scheduled                        pod/neuvector-controller-pod-76986f95cb-2s9cv                                                                        Successfully assigned neuvector/neuvector-controller-pod-76986f95cb-2s9cv to k3d-uds-server-0
promtail                    4m19s       Normal    Scheduled                        pod/promtail-mp76q                                                                                                   Successfully assigned promtail/promtail-mp76q to k3d-uds-server-0
uds-dev-stack               11m         Normal    Scheduled                        pod/ensure-machine-id-dpmwz                                                                                          Successfully assigned uds-dev-stack/ensure-machine-id-dpmwz to k3d-uds-server-0
loki                        6m15s       Normal    Scheduled                        pod/loki-backend-0                                                                                                   Successfully assigned loki/loki-backend-0 to k3d-uds-server-0
loki                        6m20s       Warning   FailedScheduling                 pod/loki-backend-0                                                                                                   running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "data-loki-backend-0": the object has been modified; please apply your changes to the latest version and try again
zarf                        8m1s        Normal    Scheduled                        pod/zarf-docker-registry-5bdb47fb66-qbshr                                                                            Successfully assigned zarf/zarf-docker-registry-5bdb47fb66-qbshr to k3d-uds-server-0
neuvector                   5m14s       Normal    Scheduled                        pod/neuvector-controller-pod-7ddbfc9f74-x2shb                                                                        Successfully assigned neuvector/neuvector-controller-pod-7ddbfc9f74-x2shb to k3d-uds-server-0
zarf                        10m         Normal    Scheduled                        pod/zarf-docker-registry-5bdb47fb66-48wht                                                                            Successfully assigned zarf/zarf-docker-registry-5bdb47fb66-48wht to k3d-uds-server-0
