NAMESPACE	LAST SEEN	TYPE	REASON	OBJECT	MESSAGE
neuvector                   5m12s       Normal    Scheduled                        pod/neuvector-scanner-pod-64d5b96b4d-fn9sz                                                                           Successfully assigned neuvector/neuvector-scanner-pod-64d5b96b4d-fn9sz to k3d-uds-server-0
neuvector                   3m43s       Normal    Scheduled                        pod/neuvector-controller-pod-7ddbfc9f74-x2shb                                                                        Successfully assigned neuvector/neuvector-controller-pod-7ddbfc9f74-x2shb to k3d-uds-server-0
neuvector                   5m12s       Normal    Scheduled                        pod/neuvector-controller-pod-76986f95cb-w2b2d                                                                        Successfully assigned neuvector/neuvector-controller-pod-76986f95cb-w2b2d to k3d-uds-server-0
authservice                 2m16s       Normal    Scheduled                        pod/authservice-7bd669d58d-d48tn                                                                                     Successfully assigned authservice/authservice-7bd669d58d-d48tn to k3d-uds-server-0
neuvector                   4m58s       Normal    Scheduled                        pod/neuvector-controller-pod-7ddbfc9f74-8ghxl                                                                        Successfully assigned neuvector/neuvector-controller-pod-7ddbfc9f74-8ghxl to k3d-uds-server-0
neuvector                   2m27s       Normal    Scheduled                        pod/neuvector-controller-pod-7ddbfc9f74-pb9wq                                                                        Successfully assigned neuvector/neuvector-controller-pod-7ddbfc9f74-pb9wq to k3d-uds-server-0
zarf                        8m33s       Normal    Scheduled                        pod/agent-hook-79796948fb-tdcpf                                                                                      Successfully assigned zarf/agent-hook-79796948fb-tdcpf to k3d-uds-server-0
uds-dev-stack               9m52s       Normal    Scheduled                        pod/nginx-nkgvx                                                                                                      Successfully assigned uds-dev-stack/nginx-nkgvx to k3d-uds-server-0
neuvector                   5m12s       Normal    Scheduled                        pod/neuvector-enforcer-pod-lj8mb                                                                                     Successfully assigned neuvector/neuvector-enforcer-pod-lj8mb to k3d-uds-server-0
neuvector                   5m12s       Normal    Scheduled                        pod/neuvector-manager-pod-766f4b86f6-74kwz                                                                           Successfully assigned neuvector/neuvector-manager-pod-766f4b86f6-74kwz to k3d-uds-server-0
loki                        4m49s       Normal    Scheduled                        pod/loki-gateway-bb48544c6-q5pfm                                                                                     Successfully assigned loki/loki-gateway-bb48544c6-q5pfm to k3d-uds-server-0
velero                      111s        Normal    Scheduled                        pod/velero-86c79f87cc-jkdhv                                                                                          Successfully assigned velero/velero-86c79f87cc-jkdhv to k3d-uds-server-0
velero                      2m2s        Normal    Scheduled                        pod/velero-upgrade-crds-q2bfb                                                                                        Successfully assigned velero/velero-upgrade-crds-q2bfb to k3d-uds-server-0
zarf                        8m33s       Normal    Scheduled                        pod/agent-hook-79796948fb-s72fd                                                                                      Successfully assigned zarf/agent-hook-79796948fb-s72fd to k3d-uds-server-0
neuvector                   5m12s       Normal    Scheduled                        pod/neuvector-controller-pod-76986f95cb-7dh7q                                                                        Successfully assigned neuvector/neuvector-controller-pod-76986f95cb-7dh7q to k3d-uds-server-0
istio-tenant-gateway        7m17s       Normal    Scheduled                        pod/tenant-ingressgateway-79d5d77d67-28nc2                                                                           Successfully assigned istio-tenant-gateway/tenant-ingressgateway-79d5d77d67-28nc2 to k3d-uds-server-0
uds-dev-stack               10m         Normal    Scheduled                        pod/metallb-controller-6b7f78f78d-nh5d7                                                                              Successfully assigned uds-dev-stack/metallb-controller-6b7f78f78d-nh5d7 to k3d-uds-server-0
uds-dev-stack               10m         Normal    Scheduled                        pod/metallb-speaker-f7x9f                                                                                            Successfully assigned uds-dev-stack/metallb-speaker-f7x9f to k3d-uds-server-0
keycloak                    6m23s       Normal    Scheduled                        pod/keycloak-0                                                                                                       Successfully assigned keycloak/keycloak-0 to k3d-uds-server-0
neuvector                   5m12s       Normal    Scheduled                        pod/neuvector-controller-pod-76986f95cb-2s9cv                                                                        Successfully assigned neuvector/neuvector-controller-pod-76986f95cb-2s9cv to k3d-uds-server-0
monitoring                  3m12s       Normal    Scheduled                        pod/alertmanager-kube-prometheus-stack-alertmanager-0                                                                Successfully assigned monitoring/alertmanager-kube-prometheus-stack-alertmanager-0 to k3d-uds-server-0
default                     10m         Normal    Starting                         node/k3d-uds-server-0                                                                                                
monitoring                  3m21s       Normal    Scheduled                        pod/kube-prometheus-stack-admission-create-crgbw                                                                     Successfully assigned monitoring/kube-prometheus-stack-admission-create-crgbw to k3d-uds-server-0
monitoring                  3m2s        Normal    Scheduled                        pod/kube-prometheus-stack-admission-patch-f7k6v                                                                      Successfully assigned monitoring/kube-prometheus-stack-admission-patch-f7k6v to k3d-uds-server-0
istio-system                7m27s       Normal    Scheduled                        pod/istiod-84cf89cbcb-8ct4b                                                                                          Successfully assigned istio-system/istiod-84cf89cbcb-8ct4b to k3d-uds-server-0
uds-dev-stack               9m52s       Normal    Scheduled                        pod/local-path-provisioner-8f88fd45c-kcsvq                                                                           Successfully assigned uds-dev-stack/local-path-provisioner-8f88fd45c-kcsvq to k3d-uds-server-0
grafana                     2m36s       Normal    Scheduled                        pod/grafana-694646fffb-9h6zf                                                                                         Successfully assigned grafana/grafana-694646fffb-9h6zf to k3d-uds-server-0
loki                        4m49s       Normal    Scheduled                        pod/loki-read-5cfc7c96c9-qqsbv                                                                                       Successfully assigned loki/loki-read-5cfc7c96c9-qqsbv to k3d-uds-server-0
istio-passthrough-gateway   7m13s       Normal    Scheduled                        pod/passthrough-ingressgateway-77f78c89b5-fm7t4                                                                      Successfully assigned istio-passthrough-gateway/passthrough-ingressgateway-77f78c89b5-fm7t4 to k3d-uds-server-0
authservice                 2m16s       Normal    Scheduled                        pod/authservice-7bd669d58d-xk4w5                                                                                     Successfully assigned authservice/authservice-7bd669d58d-xk4w5 to k3d-uds-server-0
keycloak                    6m22s       Warning   FailedScheduling                 pod/keycloak-0                                                                                                       running Bind plugin "DefaultBinder": Operation cannot be fulfilled on pods "keycloak-0": StorageError: invalid object, Code: 4, Key: /registry/pods/keycloak/keycloak-0, ResourceVersion: 0, AdditionalErrorMsg: Precondition failed: UID in precondition: 802d5fb7-0cee-4904-9ade-a40e861d532b, UID in object meta: 2a080900-67be-476c-b3d2-79d08412dd6c
loki                        4m44s       Normal    Scheduled                        pod/loki-backend-0                                                                                                   Successfully assigned loki/loki-backend-0 to k3d-uds-server-0
loki                        4m49s       Warning   FailedScheduling                 pod/loki-backend-0                                                                                                   running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "data-loki-backend-0": the object has been modified; please apply your changes to the latest version and try again
zarf                        8m38s       Normal    Scheduled                        pod/zarf-docker-registry-5bdb47fb66-48wht                                                                            Successfully assigned zarf/zarf-docker-registry-5bdb47fb66-48wht to k3d-uds-server-0
metrics-server              6m48s       Normal    Scheduled                        pod/metrics-server-69584cc865-xj8s5                                                                                  Successfully assigned metrics-server/metrics-server-69584cc865-xj8s5 to k3d-uds-server-0
zarf                        9m12s       Normal    Scheduled                        pod/zarf-docker-registry-745c48f4fb-ftkfn                                                                            Successfully assigned zarf/zarf-docker-registry-745c48f4fb-ftkfn to k3d-uds-server-0
neuvector                   5m12s       Normal    Scheduled                        pod/neuvector-scanner-pod-64d5b96b4d-j7pnx                                                                           Successfully assigned neuvector/neuvector-scanner-pod-64d5b96b4d-j7pnx to k3d-uds-server-0
uds-dev-stack               9m43s       Normal    Scheduled                        pod/minio-58f77b59c9-22x5q                                                                                           Successfully assigned uds-dev-stack/minio-58f77b59c9-22x5q to k3d-uds-server-0
zarf                        2m15s       Normal    Scheduled                        pod/zarf-docker-registry-5bdb47fb66-x4f8h                                                                            Successfully assigned zarf/zarf-docker-registry-5bdb47fb66-x4f8h to k3d-uds-server-0
zarf                        5m          Normal    Scheduled                        pod/zarf-docker-registry-5bdb47fb66-v92k6                                                                            Successfully assigned zarf/zarf-docker-registry-5bdb47fb66-v92k6 to k3d-uds-server-0
neuvector                   5m12s       Normal    Scheduled                        pod/neuvector-scanner-pod-64d5b96b4d-l2h8p                                                                           Successfully assigned neuvector/neuvector-scanner-pod-64d5b96b4d-l2h8p to k3d-uds-server-0
