NAMESPACE	LAST SEEN	TYPE	REASON	OBJECT	MESSAGE
zarf                        2m35s       Normal    Scheduled                        pod/zarf-docker-registry-5bdb47fb66-qbshr                        Successfully assigned zarf/zarf-docker-registry-5bdb47fb66-qbshr to k3d-uds-server-0
neuvector                   77s         Normal    Scheduled                        pod/neuvector-controller-pod-76986f95cb-7dh7q                    Successfully assigned neuvector/neuvector-controller-pod-76986f95cb-7dh7q to k3d-uds-server-0
kube-system                 6m25s       Normal    Scheduled                        pod/coredns-6799fbcd5-wcg6m                                      Successfully assigned kube-system/coredns-6799fbcd5-wcg6m to k3d-uds-server-0
kube-system                 5m34s       Normal    Scheduled                        pod/coredns-5599cd45b7-ss6vc                                     Successfully assigned kube-system/coredns-5599cd45b7-ss6vc to k3d-uds-server-0
zarf                        4m43s       Normal    Scheduled                        pod/zarf-docker-registry-5bdb47fb66-48wht                        Successfully assigned zarf/zarf-docker-registry-5bdb47fb66-48wht to k3d-uds-server-0
uds-dev-stack               6m20s       Normal    Scheduled                        pod/metallb-speaker-f7x9f                                        Successfully assigned uds-dev-stack/metallb-speaker-f7x9f to k3d-uds-server-0
default                     6m39s       Normal    Starting                         node/k3d-uds-server-0                                            
neuvector                   77s         Normal    Scheduled                        pod/neuvector-manager-pod-766f4b86f6-74kwz                       Successfully assigned neuvector/neuvector-manager-pod-766f4b86f6-74kwz to k3d-uds-server-0
uds-dev-stack               5m43s       Normal    Scheduled                        pod/minio-post-job-gt94f                                         Successfully assigned uds-dev-stack/minio-post-job-gt94f to k3d-uds-server-0
keycloak                    2m27s       Warning   FailedScheduling                 pod/keycloak-0                                                   running Bind plugin "DefaultBinder": Operation cannot be fulfilled on pods "keycloak-0": StorageError: invalid object, Code: 4, Key: /registry/pods/keycloak/keycloak-0, ResourceVersion: 0, AdditionalErrorMsg: Precondition failed: UID in precondition: 802d5fb7-0cee-4904-9ade-a40e861d532b, UID in object meta: 2a080900-67be-476c-b3d2-79d08412dd6c
keycloak                    2m28s       Normal    Scheduled                        pod/keycloak-0                                                   Successfully assigned keycloak/keycloak-0 to k3d-uds-server-0
istio-admin-gateway         3m28s       Normal    Scheduled                        pod/admin-ingressgateway-65c568569f-kt4mx                        Successfully assigned istio-admin-gateway/admin-ingressgateway-65c568569f-kt4mx to k3d-uds-server-0
